sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
10801127,WH-WEST,60,1,5,15
453089336,WH-EAST,139,2,11,20
453089336,WH-WEST,74,2,11,15
5242746669,WH-EAST,157,0,31,20
5242746669,WH-WEST,69,0,12,15
408608184,WH-EAST,93,8,28,20
408608184,WH-WEST,31,1,14,15
1226940529,WH-EAST,113,9,33,20
1226940529,WH-WEST,44,2,15,15
1160636802,WH-EAST,120,7,31,20
1160636802,WH-WEST,79,0,14,15
5353145797,WH-EAST,177,2,38,20
5353145797,WH-WEST,106,4,18,15
1728596655,WH-EAST,97,10,13,20
1728596655,WH-WEST,58,4,20,15
189455189,WH-EAST,159,1,9,20
189455189,WH-WEST,86,6,7,15
5158180497,WH-EAST,60,2,29,20
5158180497,WH-WEST,74,2,1,15
952556801,WH-EAST,123,3,2,20
952556801,WH-WEST,77,2,17,15
6838112687,WH-EAST,157,4,13,20
6838112687,WH-WEST,103,5,7,15
5292671987,WH-EAST,71,6,25,20
5292671987,WH-WEST,50,5,7,15
5540168677,WH-EAST,132,3,34,20
5540168677,WH-WEST,46,4,9,15
1856819911,WH-EAST,108,4,7,20
1856819911,WH-WEST,116,3,19,15
5205925876,WH-EAST,167,8,10,20
5205925876,WH-WEST,75,4,17,15
1184268274,WH-EAST,106,7,39,20
1184268274,WH-WEST,48,2,8,15
744949530,WH-EAST,171,2,13,20
744949530,WH-WEST,102,3,17,15
182543171,WH-EAST,133,6,26,20
182543171,WH-WEST,106,4,7,15
431812530,WH-EAST,139,2,27,20
431812530,WH-WEST,45,1,15,15
573614161,WH-EAST,137,8,9,20
573614161,WH-WEST,101,3,6,15
259195843,WH-EAST,81,7,37,20
259195843,WH-WEST,106,3,13,15
2580740549,WH-EAST,162,4,4,20
2580740549,WH-WEST,114,5,14,15
348784401,WH-EAST,114,2,33,20
348784401,WH-WEST,58,2,17,15
2166765925,WH-EAST,77,1,9,20
2166765925,WH-WEST,82,3,15,15
5329337627,WH-EAST,158,9,27,20
5329337627,WH-WEST,76,2,15,15
242303426,WH-EAST,163,6,36,20
242303426,WH-WEST,112,1,2,15
5045669548,WH-EAST,178,2,38,20
5045669548,WH-WEST,94,5,18,15
3046604016,WH-EAST,158,5,26,20
3046604016,WH-WEST,42,5,7,15
389782477,WH-EAST,168,7,20,20
389782477,WH-WEST,78,2,13,15
229653852,WH-EAST,143,9,21,20
229653852,WH-WEST,71,0,9,15
555974352,WH-EAST,175,4,3,20
555974352,WH-WEST,52,4,18,15
3588670272,WH-EAST,73,9,0,20
3588670272,WH-WEST,33,3,10,15
512420879,WH-EAST,73,5,8,20
512420879,WH-WEST,82,4,12,15
5658552152,WH-EAST,162,10,29,20
5658552152,WH-WEST,44,2,11,15
546469522,WH-EAST,150,10,34,20
546469522,WH-WEST,98,0,12,15
1921006587,WH-EAST,109,0,35,20
1921006587,WH-WEST,72,1,8,15
1825469871,WH-EAST,146,10,32,20
1825469871,WH-WEST,118,1,13,15
5661609857,WH-EAST,163,8,36,20
5661609857,WH-WEST,57,0,16,15
2113674813,WH-EAST,152,9,33,20
2113674813,WH-WEST,71,0,3,15
126699313,WH-EAST,162,1,13,20
126699313,WH-WEST,111,4,12,15
5753314187,WH-EAST,139,2,17,20
5753314187,WH-WEST,99,2,3,15
381632255,WH-EAST,176,6,4,20
381632255,WH-WEST,64,3,13,15
3855217628,WH-EAST,74,3,25,20
3855217628,WH-WEST,96,4,2,15
3402143185,WH-EAST,99,5,36,20
3402143185,WH-WEST,46,4,15,15
2844883584,WH-EAST,113,9,16,20
2844883584,WH-WEST,102,2,16,15
615343705,WH-EAST,72,6,14,20
615343705,WH-WEST,115,5,14,15
848798939,WH-EAST,163,1,13,20
848798939,WH-WEST,36,2,0,15
