order_id,order_date,sku,quantity,selling_price,product_cost,order_status,discount
ORD-10034,2026-07-18,SKU-55810,2,8.49,4.10,Shipped,10%
ORD-10035,2026-07-18,SKU-88472,4,65.00,31.00,Shipped,
ORD-10036,2026-07-18,SKU-10234,3,12.99,6.20,Completed,
ORD-10037,2026-07-18,SKU-77231,3,15.99,7.80,Shipped,
ORD-10038,2026-07-18,SKU-64510,1,32.99,14.10,Shipped,
ORD-10039,2026-07-19,SKU-77002,1,19.99,8.60,Completed,
ORD-10040,2026-07-19,SKU-64510,4,32.99,14.10,Shipped,10%
ORD-10041,2026-07-19,SKU-31029,1,45.00,18.20,Completed,
ORD-10042,2026-07-19,SKU-12805,1,39.99,19.00,Completed,
ORD-10042,2026-07-19,SKU-64510,4,32.99,14.10,Completed,
ORD-10043,2026-07-19,00456-BOAT,3,14.00,13.42,Completed,
ORD-10044,2026-07-19,SKU-77231,1,15.99,7.80,Completed,
ORD-10044,2026-07-19,SKU-88472,2,65.00,31.00,Completed,
ORD-10045,2026-07-19,SKU-31029,2,45.00,18.20,Shipped,
ORD-10045,2026-07-19,SKU-12805,4,39.99,19.00,Completed,
ORD-10046,2026-07-19,SKU-77002,1,19.99,8.60,Completed,
ORD-10046,2026-07-19,SKU-88472,2,65.00,31.00,Completed,
ORD-10047,2026-07-19,SKU-55810,1,8.49,4.10,Completed,
ORD-10048,2026-07-19,SKU-10234,1,12.99,6.20,Completed,10%
ORD-10049,2026-07-19,SKU-77002,2,19.99,8.60,Completed,10%
ORD-10050,2026-07-19,SKU-10234,4,12.99,6.20,Completed,
ORD-10050,2026-07-19,00456-BOAT,1,14.00,13.42,Completed,
ORD-10050,2026-07-19,SKU-77002,1,19.99,8.60,Completed,
ORD-10051,2026-07-20,SKU-90021,2,22.50,10.75,Completed,10%
ORD-10051,2026-07-20,SKU-31029,2,45.00,18.20,Completed,
ORD-10052,2026-07-20,SKU-77002,4,19.99,8.60,Completed,
ORD-10052,2026-07-20,SKU-90021,3,22.50,10.75,Completed,10%
ORD-10052,2026-07-20,SKU-55810,4,8.49,4.10,Shipped,
ORD-10053,2026-07-20,SKU-77002,4,19.99,8.60,Completed,
ORD-10053,2026-07-20,SKU-77231,1,15.99,7.80,Completed,
ORD-10054,2026-07-20,SKU-64510,4,32.99,14.10,Completed,
ORD-10054,2026-07-20,SKU-20938,2,28.00,12.50,Completed,
ORD-10055,2026-07-20,SKU-20938,2,28.00,12.50,Completed,
ORD-10055,2026-07-20,SKU-31029,4,45.00,18.20,Completed,
ORD-10055,2026-07-20,SKU-90021,3,22.50,10.75,Completed,10%
ORD-10056,2026-07-20,SKU-90021,3,22.50,10.75,Completed,
ORD-10056,2026-07-20,SKU-20938,1,28.00,12.50,Completed,
ORD-10057,2026-07-20,SKU-88472,4,65.00,31.00,Shipped,
ORD-10058,2026-07-20,SKU-10234,2,12.99,6.20,Completed,
ORD-10059,2026-07-20,SKU-64510,2,32.99,14.10,Completed,
ORD-10060,2026-07-21,SKU-77231,3,15.99,7.80,Completed,
ORD-10060,2026-07-21,SKU-77002,2,19.99,8.60,Completed,
ORD-10061,2026-07-21,SKU-88472,3,65.00,31.00,Completed,
ORD-10062,2026-07-21,SKU-90021,4,22.50,10.75,Completed,
ORD-10062,2026-07-21,SKU-64510,4,32.99,14.10,Shipped,
ORD-10063,2026-07-21,SKU-20938,4,28.00,12.50,Completed,
ORD-10064,2026-07-21,SKU-20938,4,28.00,12.50,Completed,
ORD-10064,2026-07-21,SKU-31029,3,45.00,18.20,Shipped,
ORD-10065,2026-07-21,SKU-10234,3,12.99,6.20,Completed,
ORD-10065,2026-07-21,SKU-31029,3,45.00,18.20,Completed,
ORD-10065,2026-07-21,SKU-88472,3,65.00,31.00,Completed,
ORD-10066,2026-07-21,SKU-88472,4,65.00,31.00,Completed,
ORD-10066,2026-07-21,SKU-12805,3,39.99,19.00,Shipped,
ORD-10066,2026-07-21,SKU-77231,2,15.99,7.80,Completed,
ORD-10067,2026-07-21,SKU-77002,4,19.99,8.60,Completed,
ORD-10067,2026-07-21,SKU-88472,2,65.00,31.00,Completed,
ORD-10069,2026-07-22,00456-BOAT,3,14.00,13.42,Completed,10%
ORD-10070,2026-07-22,SKU-12805,3,39.99,19.00,Completed,
ORD-10070,2026-07-22,SKU-10234,2,12.99,6.20,Completed,
ORD-10071,2026-07-22,SKU-88472,1,65.00,31.00,Completed,
ORD-10072,2026-07-22,SKU-90021,6,22.50,10.75,Shipped,
ORD-10072,2026-07-22,SKU-77002,4,19.99,8.60,Shipped,10%
ORD-10072,2026-07-22,SKU-10234,1,12.99,6.20,Completed,10%
ORD-10073,2026-07-22,SKU-90021,6,22.50,10.75,Completed,
ORD-10073,2026-07-22,SKU-77002,1,19.99,8.60,Completed,
ORD-10074,2026-07-22,SKU-10234,2,12.99,6.20,Completed,
ORD-10074,2026-07-22,SKU-31029,3,45.00,18.20,Completed,
ORD-10074,2026-07-22,SKU-12805,4,39.99,19.00,Shipped,
ORD-10075,2026-07-22,SKU-64510,1,32.99,14.10,Completed,
ORD-10076,2026-07-22,00456-BOAT,4,14.00,13.42,Completed,
ORD-10076,2026-07-22,SKU-88472,1,65.00,31.00,Completed,
ORD-10077,2026-07-22,SKU-10234,2,12.99,6.20,Completed,
ORD-10077,2026-07-22,SKU-20938,4,28.00,12.50,Completed,
ORD-10078,2026-07-22,SKU-88472,2,65.00,31.00,Completed,
ORD-10079,2026-07-22,SKU-64510,3,32.99,14.10,Completed,
ORD-10080,2026-07-23,SKU-90021,6,22.50,10.75,Completed,
ORD-10080,2026-07-23,SKU-10234,1,12.99,6.20,Completed,
ORD-10082,2026-07-23,SKU-31029,4,45.00,18.20,Shipped,
ORD-10083,2026-07-23,SKU-77231,2,15.99,7.80,Completed,
ORD-10083,2026-07-23,SKU-88472,2,65.00,31.00,Completed,10%
ORD-10083,2026-07-23,SKU-64510,2,32.99,14.10,Completed,10%
ORD-10084,2026-07-23,SKU-12805,1,39.99,19.00,Completed,10%
ORD-10084,2026-07-23,SKU-31029,3,45.00,18.20,Shipped,
ORD-10084,2026-07-23,SKU-64510,1,32.99,14.10,Completed,
ORD-10085,2026-07-23,SKU-31029,3,45.00,18.20,Shipped,
ORD-10085,2026-07-23,SKU-10234,2,12.99,6.20,Shipped,
ORD-10086,2026-07-23,SKU-12805,1,39.99,19.00,Completed,
ORD-10086,2026-07-23,SKU-20938,4,28.00,12.50,Completed,10%
ORD-10087,2026-07-23,SKU-77002,2,19.99,8.60,Shipped,
ORD-10088,2026-07-23,SKU-10234,2,12.99,6.20,Completed,
ORD-10089,2026-07-23,SKU-77002,4,19.99,8.60,Completed,
ORD-10089,2026-07-23,SKU-20938,3,28.00,12.50,Completed,
ORD-10090,2026-07-23,SKU-10234,2,12.99,6.20,Shipped,
ORD-10090,2026-07-23,SKU-12805,4,39.99,19.00,Completed,
ORD-10091,2026-07-23,SKU-31029,2,45.00,18.20,Completed,
ORD-10091,2026-07-23,SKU-90021,5,22.50,10.75,Completed,
ORD-10092,2026-07-24,SKU-88472,1,65.00,31.00,Completed,
ORD-10092,2026-07-24,SKU-10234,3,12.99,6.20,Shipped,
ORD-10093,2026-07-24,SKU-12805,1,39.99,19.00,Completed,
ORD-10094,2026-07-24,SKU-10234,3,12.99,6.20,Completed,
ORD-10095,2026-07-24,SKU-88472,1,65.00,31.00,Completed,
ORD-10095,2026-07-24,SKU-31029,4,45.00,18.20,Shipped,
ORD-10098,2026-07-24,SKU-77002,4,19.99,8.60,Completed,
ORD-10098,2026-07-24,SKU-31029,4,45.00,18.20,Completed,
ORD-10099,2026-07-24,SKU-20938,1,28.00,12.50,Completed,
ORD-10100,2026-07-24,00456-BOAT,1,14.00,13.42,Completed,
ORD-10101,2026-07-25,SKU-20938,4,28.00,12.50,Completed,
ORD-10101,2026-07-25,SKU-31029,4,45.00,18.20,Completed,
ORD-10101,2026-07-25,SKU-64510,2,32.99,14.10,Completed,
ORD-10102,2026-07-25,SKU-10234,1,12.99,6.20,Completed,
ORD-10103,2026-07-25,SKU-10234,1,12.99,6.20,Shipped,10%
ORD-10104,2026-07-25,SKU-77002,4,19.99,8.60,Shipped,
ORD-10104,2026-07-25,SKU-88472,1,65.00,31.00,Completed,
ORD-10104,2026-07-25,SKU-20938,3,28.00,12.50,Completed,
ORD-10105,2026-07-25,SKU-31029,2,45.00,18.20,Completed,
ORD-10105,2026-07-25,SKU-10234,1,12.99,6.20,Shipped,10%
ORD-10106,2026-07-25,SKU-10234,1,12.99,6.20,Completed,
ORD-10107,2026-07-25,SKU-88472,2,65.00,31.00,Completed,
ORD-10107,2026-07-25,SKU-64510,4,32.99,14.10,Completed,
ORD-10107,2026-07-25,SKU-77231,3,15.99,7.80,Completed,
ORD-10108,2026-07-25,SKU-10234,3,12.99,6.20,Completed,
ORD-10108,2026-07-25,SKU-64510,1,32.99,14.10,Shipped,
ORD-10109,2026-07-26,SKU-90021,6,22.50,10.75,Completed,
ORD-10109,2026-07-26,00456-BOAT,4,14.00,13.42,Completed,10%
ORD-10110,2026-07-26,SKU-10234,2,12.99,6.20,Completed,
ORD-10110,2026-07-26,SKU-20938,1,28.00,12.50,Completed,
ORD-10111,2026-07-26,SKU-77231,1,15.99,7.80,Completed,
ORD-10111,2026-07-26,SKU-88472,4,65.00,31.00,Completed,
ORD-10112,2026-07-26,SKU-10234,2,12.99,6.20,Completed,
ORD-10112,2026-07-26,SKU-88472,4,65.00,31.00,Completed,
ORD-10112,2026-07-26,SKU-64510,4,32.99,14.10,Shipped,
ORD-10113,2026-07-26,00456-BOAT,3,14.00,13.42,Shipped,
ORD-10113,2026-07-26,SKU-10234,1,12.99,6.20,Completed,10%
ORD-10114,2026-07-26,SKU-77002,4,19.99,8.60,Completed,
ORD-10114,2026-07-26,SKU-90021,6,22.50,10.75,Shipped,
ORD-10115,2026-07-26,SKU-88472,3,65.00,31.00,Completed,
ORD-10115,2026-07-26,SKU-64510,3,32.99,14.10,Completed,
ORD-10116,2026-07-26,SKU-64510,1,32.99,14.10,Completed,10%
ORD-10117,2026-07-26,SKU-31029,1,45.00,18.20,Shipped,
ORD-10117,2026-07-26,SKU-77002,1,19.99,8.60,Shipped,
ORD-10117,2026-07-26,SKU-77231,1,15.99,7.80,Completed,
ORD-10118,2026-07-26,SKU-88472,3,65.00,31.00,Completed,
ORD-10118,2026-07-26,SKU-77231,4,15.99,7.80,Completed,
ORD-10119,2026-07-26,SKU-12805,1,39.99,19.00,Completed,
ORD-10120,2026-07-26,SKU-12805,2,39.99,19.00,Completed,
ORD-10120,2026-07-26,00456-BOAT,2,14.00,13.42,Completed,
ORD-10121,2026-07-26,SKU-31029,2,45.00,18.20,Completed,
ORD-10121,2026-07-26,SKU-10234,3,12.99,6.20,Completed,
ORD-10122,2026-07-27,00456-BOAT,1,14.00,13.42,Completed,10%
ORD-10122,2026-07-27,SKU-77002,3,19.99,8.60,Completed,
ORD-10122,2026-07-27,SKU-31029,4,45.00,18.20,Completed,
ORD-10123,2026-07-27,SKU-12805,3,39.99,19.00,Shipped,
ORD-10123,2026-07-27,SKU-31029,4,45.00,18.20,Completed,
ORD-10123,2026-07-27,SKU-20938,2,28.00,12.50,Completed,
ORD-10124,2026-07-27,SKU-90021,6,22.50,10.75,Completed,
ORD-10124,2026-07-27,SKU-88472,1,65.00,31.00,Completed,
ORD-10124,2026-07-27,SKU-10234,1,12.99,6.20,Completed,
ORD-10125,2026-07-27,SKU-77231,1,15.99,7.80,Completed,
ORD-10125,2026-07-27,SKU-64510,4,32.99,14.10,Completed,10%
ORD-10125,2026-07-27,SKU-12805,4,39.99,19.00,Completed,
ORD-10126,2026-07-27,SKU-12805,2,39.99,19.00,Completed,
ORD-10127,2026-07-27,00456-BOAT,1,14.00,13.42,Completed,
ORD-10127,2026-07-27,SKU-31029,4,45.00,18.20,Completed,
ORD-10128,2026-07-27,SKU-77002,2,19.99,8.60,Completed,
ORD-10128,2026-07-27,00456-BOAT,2,14.00,13.42,Completed,
ORD-10129,2026-07-27,00456-BOAT,2,14.00,13.42,Completed,
ORD-10130,2026-07-27,SKU-64510,1,32.99,14.10,Completed,
ORD-10130,2026-07-27,SKU-90021,6,22.50,10.75,Completed,
ORD-10131,2026-07-27,SKU-90021,4,22.50,10.75,Completed,
ORD-10131,2026-07-27,SKU-77002,1,19.99,8.60,Completed,
ORD-10132,2026-07-28,SKU-88472,3,65.00,31.00,Completed,
ORD-10132,2026-07-28,SKU-10234,2,12.99,6.20,Completed,
ORD-10133,2026-07-28,00456-BOAT,1,14.00,13.42,Completed,
ORD-10133,2026-07-28,SKU-12805,2,39.99,19.00,Completed,
ORD-10133,2026-07-28,SKU-10234,2,12.99,6.20,Shipped,
ORD-10134,2026-07-28,SKU-77231,2,15.99,7.80,Completed,
ORD-10134,2026-07-28,SKU-12805,4,39.99,19.00,Completed,
ORD-10134,2026-07-28,SKU-90021,5,22.50,10.75,Completed,
ORD-10135,2026-07-28,SKU-12805,1,39.99,19.00,Completed,
ORD-10136,2026-07-28,SKU-90021,5,22.50,10.75,Completed,10%
ORD-10136,2026-07-28,SKU-88472,3,65.00,31.00,Shipped,
ORD-10137,2026-07-28,SKU-64510,1,32.99,14.10,Shipped,
ORD-10138,2026-07-28,SKU-31029,4,45.00,18.20,Shipped,
ORD-10139,2026-07-28,SKU-10234,3,12.99,6.20,Completed,
ORD-10140,2026-07-28,SKU-64510,3,32.99,14.10,Completed,
ORD-10141,2026-07-28,SKU-10234,3,12.99,6.20,Completed,
ORD-10142,2026-07-28,SKU-77231,4,15.99,7.80,Completed,
ORD-10142,2026-07-28,SKU-12805,3,39.99,19.00,Completed,
ORD-10143,2026-07-28,SKU-77002,2,19.99,8.60,Completed,
ORD-10144,2026-07-28,SKU-31029,1,45.00,18.20,Completed,
ORD-99001,2026-07-27,SKU-UNKNOWN-999,2,9.99,,Completed,
ORD-10001,2026-07-15,SKU-88472,1,65.00,31.00,Completed,
ORD-99002,2026-07-27,SKU-10234,N/A,12.99,,Completed,
ORD-99003,2026-07-27,SKU-77231,1,contact us,,Completed,
ORD-99004,not-a-date,SKU-90021,1,22.50,,Completed,
